iter	Logloss
0	0.6204324001
1	0.5678707134
2	0.5300981887
3	0.5016130469
4	0.480107206
5	0.4639192701
6	0.4521761263
7	0.4419722878
8	0.4335567782
9	0.427126025
10	0.42184309
11	0.4159767245
12	0.4122350966
13	0.4092761188
14	0.4062382505
15	0.4030953606
16	0.399740854
17	0.3970661102
18	0.3947044814
19	0.3924775178
20	0.3901749012
21	0.3885665262
22	0.38715202
23	0.3852782835
24	0.3840012936
25	0.3825415753
26	0.3811606431
27	0.3797839756
28	0.3779704766
29	0.3767921235
30	0.3757957296
31	0.3745076969
32	0.3731959598
33	0.3725352122
34	0.3717037362
35	0.3708862378
36	0.370008105
37	0.3693238061
38	0.3687837669
39	0.3680602612
40	0.3675775004
41	0.3665527823
42	0.3657514304
43	0.3649940477
44	0.3644713665
45	0.3641327193
46	0.3636931063
47	0.3627715437
48	0.3619170178
49	0.3614221211
50	0.3604717783
51	0.3598575484
52	0.359380316
53	0.3588369626
54	0.3584096109
55	0.3577491835
56	0.3572192576
57	0.3566677405
58	0.3561458843
59	0.355708374
60	0.3551824621
61	0.3546530619
62	0.3542628804
63	0.353829271
64	0.3532414017
65	0.352774025
66	0.3524881653
67	0.3522173067
68	0.3517221786
69	0.3512880957
70	0.3506004947
71	0.3500587514
72	0.3497537548
73	0.3490904554
74	0.3486846079
75	0.3483655884
76	0.3478549248
77	0.3473095905
78	0.346926081
79	0.3462285478
80	0.3457070467
81	0.3455608253
82	0.345012974
83	0.3447088999
84	0.3441738774
85	0.3437504891
86	0.3433652268
87	0.3430702112
88	0.3428755225
89	0.3426270489
90	0.3424341219
91	0.3422117583
92	0.3416764398
93	0.3414328593
94	0.3408418307
95	0.3405385504
96	0.3402634619
97	0.3398839386
98	0.3394096253
99	0.3389107356
100	0.3383141055
101	0.3380499154
102	0.3377763849
103	0.3373704747
104	0.3369874387
105	0.3365887297
106	0.3362210742
107	0.3358848813
108	0.3356742203
109	0.3353213779
110	0.3351380454
111	0.3348384501
112	0.3345995589
113	0.3342719771
114	0.3339529124
115	0.3336875508
116	0.3334467101
117	0.3332713829
118	0.3330536757
119	0.332886225
120	0.3326838948
121	0.3324005417
122	0.3320991257
123	0.3318133548
124	0.3315745471
125	0.3313554769
126	0.3310827732
127	0.3307849516
128	0.3304620714
129	0.33011776
130	0.3298926863
131	0.3296729651
132	0.329448645
133	0.3291343062
134	0.3289678182
135	0.3287931733
136	0.3286413504
137	0.3284995068
138	0.3283411006
139	0.3280934486
140	0.3278029031
141	0.3275595262
142	0.3272942168
143	0.3269315135
144	0.3268289011
145	0.3265234519
146	0.3263147683
147	0.3261007774
148	0.3259068946
149	0.3257254142
150	0.3255237333
151	0.3253166737
152	0.3251285335
153	0.3250142167
154	0.3247597274
155	0.3245190224
156	0.324296732
157	0.3240946925
158	0.3239992342
159	0.323847594
160	0.3235342492
161	0.3234071803
162	0.3232261211
163	0.3230846656
164	0.3227965796
165	0.3225881797
166	0.3223391787
167	0.3221571169
168	0.3220481458
169	0.3218655704
170	0.3217455548
171	0.3215521577
172	0.3213760472
173	0.3212190684
174	0.321132585
175	0.32098875
176	0.32087314
177	0.3206774592
178	0.3205281846
179	0.3203635799
180	0.3202408854
181	0.3200878092
182	0.3198658321
183	0.3197216089
184	0.3196073496
185	0.3195137974
186	0.3193928156
187	0.3192604812
188	0.3191517538
189	0.3190216161
190	0.318954851
191	0.3188565972
192	0.3187096516
193	0.3185619315
194	0.3184654862
195	0.3183192822
196	0.3181927425
197	0.3181015854
198	0.3179838151
199	0.3178563268
200	0.3177393521
201	0.3176630986
202	0.3175561031
203	0.3174515359
204	0.3172786717
205	0.3171789366
206	0.3170976334
207	0.3170141039
208	0.3168215197
209	0.3167099933
210	0.3165913075
211	0.3163625035
212	0.3162881195
213	0.3162131314
214	0.316042196
215	0.3159373694
216	0.315845556
217	0.3157298746
218	0.3156670695
219	0.3155810265
220	0.3154775211
221	0.3153487168
222	0.3152750517
223	0.3151785402
224	0.3151075575
225	0.3149840204
226	0.3148542379
227	0.3147233274
228	0.3146090472
229	0.3145177265
230	0.3144195109
231	0.3143176574
232	0.3142147438
233	0.3141198251
234	0.314002967
235	0.3138994546
236	0.3137961355
237	0.3137290988
238	0.3136392594
239	0.3135612582
240	0.3134588616
241	0.3133871478
242	0.3132349785
243	0.3131477083
244	0.313029858
245	0.3129699825
246	0.3128997308
247	0.3128109201
248	0.3126745456
249	0.3124361575
250	0.3123501719
251	0.3122701272
252	0.3121384926
253	0.3120627874
254	0.3119226548
255	0.3118274715
256	0.3117218198
257	0.3116022428
258	0.3114385346
259	0.3112810528
260	0.3111897303
261	0.3111270122
262	0.3110008433
263	0.3108799051
264	0.3107995036
265	0.3107436176
266	0.3106327544
267	0.3105464973
268	0.3104570843
269	0.310320494
270	0.3102149868
271	0.3101580199
272	0.3099971037
273	0.3099325319
274	0.3098824667
275	0.309811987
276	0.3097150335
277	0.309595312
278	0.3094968249
279	0.309387262
280	0.3093232576
281	0.3092314268
282	0.3091547677
283	0.309100901
284	0.309000017
285	0.3088823408
286	0.3087844073
287	0.3087418549
288	0.3086596047
289	0.3085502489
290	0.3084832575
291	0.3084105289
292	0.3083419343
293	0.308251651
294	0.3081459889
295	0.3080392702
296	0.3079251606
297	0.3078203602
298	0.3077544149
299	0.3076257725
300	0.3075341541
301	0.307436466
302	0.3073404211
303	0.3072443744
304	0.3071099321
305	0.3070624484
306	0.3069602502
307	0.3068849767
308	0.3068279001
309	0.3067646547
310	0.3066845247
311	0.3066202365
312	0.3065778756
313	0.3064523333
314	0.3063512056
315	0.3062730322
316	0.3061543603
317	0.3060417686
318	0.3059459378
319	0.3058441661
320	0.3057745637
321	0.3057054539
322	0.3056221698
323	0.3055519599
324	0.3054983107
325	0.3054347015
326	0.3053430152
327	0.3052674266
328	0.3051774514
329	0.305109628
330	0.3050469395
331	0.3050235206
332	0.304968827
333	0.3048353385
334	0.3047401709
335	0.3046694789
336	0.3045950322
337	0.3045329303
338	0.3044377227
339	0.3043540086
340	0.3042487817
341	0.3041724847
342	0.3041203708
343	0.3040265087
344	0.3039652458
345	0.3038429325
346	0.3037704823
347	0.3037130629
348	0.3036382036
349	0.3035445765
350	0.3034787966
351	0.3034084771
352	0.303332845
353	0.3032417244
354	0.3031610635
355	0.3030729439
356	0.302950923
357	0.3028721507
358	0.3028008599
359	0.3027476563
360	0.3026519247
361	0.3025800995
362	0.3025378848
363	0.3024403411
364	0.3023788764
365	0.3023087274
366	0.3022643804
367	0.3021868213
368	0.3021396945
369	0.302087967
370	0.3019842718
371	0.3019234946
372	0.3018418572
373	0.3017930715
374	0.3017465678
375	0.3016465681
376	0.3015607478
377	0.3015020229
378	0.3014446243
379	0.3013637215
380	0.3012826359
381	0.30119676
382	0.3010989326
383	0.3010577066
384	0.3009628262
385	0.3009144443
386	0.3008257746
387	0.3007622454
388	0.3006664964
389	0.3005907773
390	0.300520825
391	0.3004643977
392	0.3003883078
393	0.3003394298
394	0.3002680624
395	0.3001894346
396	0.3001416097
397	0.3000829405
398	0.3000258796
399	0.2999178432
400	0.2998579346
401	0.2997595694
402	0.2997036991
403	0.2996136055
404	0.2995249532
405	0.2994576015
406	0.2993881018
407	0.2993133157
408	0.2992573044
409	0.2991576894
410	0.299095544
411	0.2990053077
412	0.2989342031
413	0.2988749473
414	0.2987690223
415	0.2987211835
416	0.2986547421
417	0.2985695973
418	0.2985192537
419	0.2984692738
420	0.298409461
421	0.2983696814
422	0.2983054734
423	0.2982497667
424	0.2981889878
425	0.2981090232
426	0.2980350256
427	0.2979245087
428	0.2978383456
429	0.297782028
430	0.2977322031
431	0.297690051
432	0.2976331677
433	0.2975865874
434	0.2975346754
435	0.2974308549
436	0.2973512611
437	0.2972911662
438	0.297240229
439	0.2971801533
440	0.2971166989
441	0.2970588095
442	0.2970158863
443	0.2969661275
444	0.2969185394
445	0.2968750975
446	0.2968238783
447	0.2967718201
448	0.2967078905
449	0.2966405632
450	0.2965933858
451	0.2965357227
452	0.2964696347
453	0.2964422505
454	0.2963906257
455	0.2963153121
456	0.2962552521
457	0.2962073053
458	0.296153543
459	0.2960706837
460	0.2959979255
461	0.2959290071
462	0.2958943208
463	0.2958613317
464	0.2958207218
465	0.2957638959
466	0.2956661365
467	0.2956051556
468	0.2955438492
469	0.2955023586
470	0.2954621579
471	0.2954047628
472	0.2953353449
473	0.2952839795
474	0.2952186295
475	0.2951536956
476	0.2950722932
477	0.2950161166
478	0.2949249229
479	0.2948360095
480	0.2947802524
481	0.2947345337
482	0.294684345
483	0.2946297158
484	0.2945775132
485	0.294516816
486	0.2944542598
487	0.2943901667
488	0.2943313999
489	0.2942753591
490	0.2942022753
491	0.2941555366
492	0.2941005959
493	0.2940538711
494	0.2940089496
495	0.2939358554
496	0.2938825649
497	0.2938287608
498	0.293776619
499	0.2937014882
500	0.293635221
501	0.2935652286
502	0.2935043992
503	0.2934793353
504	0.2934319334
505	0.293392744
506	0.2933520802
507	0.2932891428
508	0.2932198015
509	0.2931701559
510	0.29309518
511	0.2930416214
512	0.2929830705
513	0.2929462588
514	0.2928604369
515	0.2928214824
516	0.2927894071
517	0.292752108
518	0.2926927268
519	0.2926404267
520	0.2926073662
521	0.292545649
522	0.2924960225
523	0.292460022
524	0.2923983065
525	0.2923385807
526	0.2922890412
527	0.2921998372
528	0.2921335699
529	0.2920747509
530	0.2920205239
531	0.2919836251
532	0.2919431563
533	0.2918934828
534	0.2918525179
535	0.2918051682
536	0.2917561719
537	0.2916843728
538	0.2916143056
539	0.2915259161
540	0.2914800391
541	0.2914241514
542	0.2913585752
543	0.2912797402
544	0.2912009367
545	0.2911379053
546	0.2910668512
547	0.2910006274
548	0.2909601986
549	0.2909052074
550	0.2908651407
551	0.2908115489
552	0.2907550311
553	0.2907263745
554	0.2906938866
555	0.2906258073
556	0.2905687952
557	0.2904943746
558	0.2904526038
559	0.2903890484
560	0.290330273
561	0.2902798145
562	0.2902196691
563	0.290162979
564	0.2901007605
565	0.2900517189
566	0.2900035389
567	0.2899420794
568	0.2898621095
569	0.2898207443
570	0.289775607
571	0.2897252773
572	0.2896829842
573	0.2896253907
574	0.2895935834
575	0.2895569249
576	0.2894932408
577	0.2894313931
578	0.2893739266
579	0.2893216839
580	0.289282914
581	0.2892207077
582	0.2891731108
583	0.2891293278
584	0.2890616767
585	0.2890019909
586	0.2889551877
587	0.2888984123
588	0.2888395968
589	0.2887939495
590	0.2887374718
591	0.2886761376
592	0.2886341857
593	0.2885973653
594	0.2885464699
595	0.28848512
596	0.2884285134
597	0.2883711288
598	0.2883222664
599	0.2882808542
600	0.2882224112
601	0.2881779458
602	0.2881074783
603	0.2880775788
604	0.2880398341
605	0.2879747609
606	0.2879345828
607	0.2878853149
608	0.2878437112
609	0.2877674977
610	0.2877197024
611	0.2876738723
612	0.2876295427
613	0.2875920765
614	0.2875370018
615	0.2874827886
616	0.287392152
617	0.2873399371
618	0.2872559515
619	0.2872237318
620	0.2871375477
621	0.2870925741
622	0.2870133527
623	0.2869567949
624	0.2869092363
625	0.28688933
626	0.2868255536
627	0.2867332216
628	0.2866855098
629	0.2866540612
630	0.2866045704
631	0.2865479813
632	0.2864857071
633	0.2864434611
634	0.2863845533
635	0.2863222635
636	0.2862628718
637	0.2861945245
638	0.2861487448
639	0.2861015379
640	0.2860557513
641	0.2859797224
642	0.2859341899
643	0.2858763022
644	0.2858183362
645	0.2857615173
646	0.2857277013
647	0.2856953806
648	0.2856263369
649	0.285580526
650	0.2855205616
651	0.2854728342
652	0.2854073137
653	0.28535344
654	0.285310106
655	0.2852778897
656	0.285214122
657	0.2851845759
658	0.2851410035
659	0.285088068
660	0.2850464103
661	0.2850048884
662	0.284942548
663	0.2848905943
664	0.2847927791
665	0.2847470674
666	0.2846963547
667	0.2846498684
668	0.2845914846
669	0.2845512943
670	0.2845189353
671	0.2844542137
672	0.2844230435
673	0.2843660819
674	0.2843206191
675	0.2842793408
676	0.2842096444
677	0.2841704358
678	0.2841371473
679	0.2840894947
680	0.2840305661
681	0.2839819614
682	0.2839345543
683	0.2838993927
684	0.283879295
685	0.2838476322
686	0.2837847801
687	0.2837322659
688	0.2836890833
689	0.2836596991
690	0.2835854613
691	0.2835593304
692	0.2835233803
693	0.2834808958
694	0.2834262214
695	0.2833675626
696	0.2833425735
697	0.2832880697
698	0.283215026
699	0.2831645779
700	0.2831083421
701	0.2830630464
702	0.2830133189
703	0.2829719589
704	0.2829180538
705	0.2828749688
706	0.2828463417
707	0.2827979407
708	0.2827513447
709	0.2827226585
710	0.2826590753
711	0.2826080215
712	0.2825598084
713	0.282531023
